keyword,word_type,total_count,avg_tfidf,primary_category,word_length
启蒙,功能词,1,0.8725,母婴,2
安静,其他,1,0,母婴,2
撕书,其他,1,1.1955,母婴,2
趣味,其他,1,0.8931,母婴,2
魔术,其他,1,0.9726,母婴,2
科巢,其他,1,1.1955,母婴,2
以上,其他,1,0,母婴,2
隔尿垫,品类词,1,0.8539,母婴,3
可洗,其他,1,0.8539,母婴,2
尺寸,其他,1,0,母婴,2
床单,其他,1,0.6905,母婴,2
姨妈,其他,1,0.6874,母婴,2
床垫,其他,1,0.7575,母婴,2
包屁衣,其他,1,0.9196,母婴,3
哈衣,其他,1,0.9196,母婴,2
包单,其他,1,0.9196,母婴,2
襁褓,其他,1,0,母婴,2
裹布,其他,1,0.9196,母婴,2
盖毯,其他,1,0.9196,母婴,2
产房,其他,1,0.8428,母婴,2
包巾,其他,1,0.9003,母婴,2
春夏,季节词,1,0,母婴,2
袜子,其他,1,0.6415,母婴,2
夏天,其他,1,0,母婴,2
网眼,其他,1,0.8779,母婴,2
长筒袜,其他,1,0.9434,母婴,3
防蚊,功能词,1,0.8539,母婴,2
正版,其他,1,0.867,母婴,2
躲猫猫,其他,1,0.9385,母婴,3
大象,其他,1,0,母婴,2
玩偶,其他,1,0.8722,母婴,2
学说话,其他,1,1.1006,母婴,3
哄娃,其他,1,0.9962,母婴,2
公仔,其他,1,1.1584,母婴,2
好玩,其他,1,1.0011,母婴,2
翻翻,其他,1,1.0633,母婴,2
洞洞,其他,1,1.2887,母婴,2
触摸,其他,1,1.0253,母婴,2
推拉,其他,1,1.2684,母婴,2
方巾,其他,1,0.9137,母婴,2
口水,其他,1,0.8248,母婴,2
纱布,其他,1,0.8507,母婴,2
洗脸,其他,1,0.7886,母婴,2
儿童用品,其他,1,1.2007,母婴,4
库洛米,其他,1,0.9962,家居日用,3
卡通,其他,1,0.8807,家居日用,2
三丽鸥,其他,1,0.9962,家居日用,3
装饰,其他,1,0,家居日用,2
贴画,其他,1,0.9665,家居日用,2
奖励,其他,1,0,家居日用,2
通风,其他,1,0,家居日用,2
托盘,其他,1,0,家居日用,2
招财,其他,1,0.8779,家居日用,2
底座,其他,1,0.6894,家居日用,2
树脂,其他,1,0,家居日用,2
盆栽,其他,1,0.7369,家居日用,2
绿植接,其他,1,0.8539,家居日用,3
水盘,其他,1,0.8539,家居日用,2
恒澍,其他,1,0.9962,家居日用,2
抹布,品类词,1,0.8244,家居日用,2
洗碗,其他,1,0.875,家居日用,2
洗车,其他,1,0.9513,家居日用,2
特厚强,其他,1,0.9962,家居日用,3
吸水,其他,1,0.7872,家居日用,2
沾油,其他,1,0.9962,家居日用,2
美工刀,其他,1,0.9196,家居日用,3
快递,其他,1,0.7715,家居日用,2
开箱,其他,1,0.856,家居日用,2
利器,其他,1,0,家居日用,2
小刀,其他,1,0,家居日用,2
墙纸,其他,1,0.9093,家居日用,2
壁纸,其他,1,0.8248,家居日用,2
美术,其他,1,0,家居日用,2
保鲜膜,品类词,1,1.0243,家居日用,3
加大,其他,1,0,家居日用,2
超市,其他,1,0,家居日用,2
微波炉,其他,1,0.8341,家居日用,3
耐高温,其他,1,0.802,家居日用,3
PE,其他,1,0.9962,家居日用,2
冷冻,其他,1,0.7714,家居日用,2
高档,其他,1,0.6627,家居日用,2
沐浴球,品类词,1,0.9962,家居日用,3
散花,其他,1,1.0429,家居日用,2
搓澡,其他,1,0.9586,家居日用,2
泡澡,其他,1,0.9851,家居日用,2
洗澡,其他,1,0.6996,家居日用,2
泡沫,其他,1,0,家居日用,2
金倍,其他,1,0.9196,家居日用,2
牙刷,品类词,1,0.8315,家居日用,2
高端,其他,1,0,家居日用,2
竹炭,其他,1,0.9626,家居日用,2
护龈,其他,1,0.9196,家居日用,2
高密度,其他,1,0.7174,家居日用,3
家庭装,其他,1,1.0693,家居日用,3
抽绳,其他,1,1.1955,家居日用,2
塑料袋,其他,1,0.9482,家居日用,3
抽绳袋,其他,1,1.1955,家居日用,3
手提式,其他,1,1.1262,家居日用,3
自动,其他,1,0,家居日用,2
收口,其他,1,1.0856,家居日用,2
Touchmark,其他,1,1.0868,家居日用,9
按动,其他,1,1.0305,家居日用,2
闪光,其他,1,0,家居日用,2
啫喱,其他,1,1.0868,家居日用,2
闪亮,其他,1,0,家居日用,2
流沙,其他,1,0,家居日用,2
亮晶晶,其他,1,0.8946,家居日用,3
荧光笔,其他,1,1.2637,家居日用,3
笔手,其他,1,1.0868,家居日用,2
奶油,其他,1,0,家居日用,2
胶咕卡,其他,1,0.9196,家居日用,3
手工,其他,1,0,家居日用,2
节日,其他,1,0,家居日用,2
生日礼物,其他,1,0.8187,家居日用,4
送礼,其他,1,0,家居日用,2
叶黄素,其他,1,0.8281,零食,3
果汁,其他,1,0.6897,零食,2
软糖,其他,1,0.9848,零食,2
30,其他,1,0.9196,零食,2
粒近,其他,1,0.9196,零食,2
青少年,其他,1,0,零食,3
视力,其他,1,0,零食,2
健康,其他,1,0,零食,2
呵护,其他,1,0.6761,零食,2
干涩,其他,1,0.761,零食,2
肉松,其他,1,0.8284,零食,2
正宗,其他,1,0,零食,2
吊柿,其他,1,0.8539,零食,2
新鲜,其他,1,0,零食,2
霜降,其他,1,0.7865,零食,2
流心,其他,1,0.8539,零食,2
柿子,其他,1,0.6773,零食,2
蜜柿,其他,1,0.8539,零食,2
博仔,其他,1,0.8539,零食,2
闪电,其他,1,0,零食,2
爽口,其他,1,0.7454,零食,2
含片,其他,1,0.8539,零食,2
糖果,品类词,1,0,零食,2
童年,其他,1,0,零食,2
8090,其他,1,0.8539,零食,4
薄荷,其他,1,0.7005,零食,2
膜片,其他,1,0.836,零食,2
加贝鲜,其他,1,0.9196,零食,3
带籽,其他,1,0.9196,零食,2
鱿鱼仔,品类词,1,0.9196,零食,3
香辣,功能词,1,0.872,零食,2
烧烤,其他,1,0,零食,2
海鲜,其他,1,0,零食,2
墨鱼,其他,1,0.7818,零食,2
熟食,其他,1,0,零食,2
陈皮味,其他,1,0.9196,零食,3
酸梅,其他,1,0.9626,零食,2
话梅,其他,1,0.9455,零食,2
酸甜,功能词,1,0.8663,零食,2
开胃,功能词,1,0.8077,零食,2
梅子,其他,1,0,零食,2
办公,其他,1,0,零食,2
酥醇,其他,1,1.1955,零食,2
脆角,其他,1,1.1955,零食,2
图层,其他,1,1.1955,零食,2
夹心饼干,其他,1,1.2291,零食,4
果仁,其他,1,1.0856,零食,2
谷物,其他,1,0,零食,2
三只松鼠,其他,1,0.9196,零食,4
小白,其他,1,0,零食,2
杏核,其他,1,0.8922,零食,2
100g,其他,1,0.9196,零食,4
自然,其他,1,0,零食,2
原香易,其他,1,0.9196,零食,3
剥壳,其他,1,0.9848,零食,2
杏仁,其他,1,0,零食,2
袋装,其他,1,0.856,零食,2
开口,其他,1,0,零食,2
薄皮,其他,1,0.9196,零食,2
新品,其他,1,0.845,零食,2
豪华版,其他,1,1.0009,零食,3
炉炭,其他,1,1.2637,零食,2
女友,其他,1,0.846,零食,2
统一,其他,1,0,零食,2
当家,其他,1,0,零食,2
干脆面,品类词,1,0.9962,零食,3
香辣蟹,其他,1,1.0429,零食,3
红烧,其他,1,0.8358,零食,2
牛肉,其他,1,0,零食,2
蜜汁,其他,1,0.9513,零食,2
猪排,其他,1,0.9851,零食,2
香葱,其他,1,1.0243,零食,2
方便面,其他,1,0.8645,零食,3
香脆,其他,1,0.9962,零食,2
点心,其他,1,0,零食,2
甘源,其他,1,1.1955,零食,2
条豆果,其他,1,1.1955,零食,3
鲜虾,其他,1,1.2802,零食,2
烤肉,其他,1,1.0317,零食,2
蟹黄,其他,1,1.1821,零食,2
办公室,其他,1,0,零食,3
下午茶,其他,1,1.1128,零食,3
美味,其他,1,0.8973,零食,2
推荐,其他,1,0,零食,2
贴上去,其他,1,1.0457,美妆配饰,3
公园,其他,1,0,美妆配饰,2
爱莎,其他,1,1.0868,美妆配饰,2
额头,其他,1,0.7089,美妆配饰,2
彩虹,其他,1,0.8397,美妆配饰,2
蝴蝶花,其他,1,1.064,美妆配饰,3
彩绘,其他,1,0.8076,美妆配饰,2
纹身,其他,1,0.9711,美妆配饰,2
海绵,其他,1,0.7637,美妆配饰,2
砂条,其他,1,0.9962,美妆配饰,2
抛光,其他,1,0.8307,美妆配饰,2
甲面,其他,1,0.9962,美妆配饰,2
工具,其他,1,0,美妆配饰,2
棉签,其他,1,0.861,美妆配饰,2
卸妆,其他,1,0.7958,美妆配饰,2
挖耳,其他,1,0.9196,美妆配饰,2
掏耳朵,其他,1,0.9626,美妆配饰,3
一次性,其他,1,0,美妆配饰,3
卫生,其他,1,0,美妆配饰,2
美容,其他,1,0.643,美妆配饰,2
化妆,其他,1,0.6973,美妆配饰,2
竹棒,其他,1,0.9315,美妆配饰,2
超火,其他,1,0.9196,美妆配饰,2
像素,其他,1,0.861,美妆配饰,2
凯蒂,其他,1,0.9196,美妆配饰,2
hellokitty,其他,1,0.9196,美妆配饰,10
5d,其他,1,0.9196,美妆配饰,2
浮雕,其他,1,0,美妆配饰,2
相机,其他,1,0,美妆配饰,2
面霜,其他,1,0.9327,美妆配饰,2
冷门,其他,1,0.7748,美妆配饰,2
淡颜,其他,1,0.9196,美妆配饰,2
腮红,品类词,1,0.9848,美妆配饰,2
饱和,其他,1,0,美妆配饰,2
万能,其他,1,0,美妆配饰,2
消肿,其他,1,0.7361,美妆配饰,2
粉色,其他,1,0.7748,美妆配饰,2
柔雾,其他,1,0.9196,美妆配饰,2
UAU,其他,1,0.9196,美妆配饰,3
养出,其他,1,0.9196,美妆配饰,2
漫画,其他,1,0.7128,美妆配饰,2
香氛,其他,1,0.9196,美妆配饰,2
护手霜,品类词,1,0.9626,美妆配饰,3
干裂,其他,1,0.813,美妆配饰,2
四季,其他,1,0,美妆配饰,2
秋冬,季节词,1,0.8285,美妆配饰,2
女发带,其他,1,1.0868,美妆配饰,3
高弹性,其他,1,1.0116,美妆配饰,3
不伤,其他,1,0.9354,美妆配饰,2
多功能,其他,1,0,美妆配饰,3
马尾,其他,1,0.8469,美妆配饰,2
头饰,其他,1,0.9641,美妆配饰,2
束发,其他,1,0.9869,美妆配饰,2
遗憾,其他,1,0,美妆配饰,2
塞纳,其他,1,0.8663,美妆配饰,2
纯手工,其他,1,0.8922,美妆配饰,3
穿戴,其他,1,0,美妆配饰,2
猫眼,其他,1,0.7782,美妆配饰,2
高级,其他,1,0,美妆配饰,2
折叠,属性词,1,0.7247,美妆配饰,2
唇部,其他,1,0.8902,美妆配饰,2
懒人,其他,1,0.9665,美妆配饰,2
修眉,其他,1,1.0668,美妆配饰,2
2024,其他,1,1.7078,T恤,4
香风,其他,1,1.4952,外套,2
短款,其他,1,1.7298,外套,2
针织,其他,1,1.3653,外套,2
服装,其他,1,0.9909,T恤,2
西装,其他,1,1.5364,外套,2
夏潮,其他,1,1.7078,T恤,2
bf,其他,1,1.7078,外套,2
冰感,其他,1,1.7078,T恤,2
男夏,其他,1,3.9849,短裤,2
重磅,其他,1,1.1793,T恤,2
体恤,其他,1,1.2796,T恤,2
职业,其他,1,0.9669,衬衫,2
正装,其他,1,1.7078,衬衫,2
免烫,其他,1,1.7878,衬衫,2
ins风,修饰词,1,1.7078,夹克,4
夹克衫,其他,1,1.6569,夹克,3
加绒,其他,1,1.4943,衬衫,2
运动裤,其他,1,1.9858,短裤,3
特大号,其他,1,2.9887,垃圾袋,3
软底,其他,1,2.9887,拖鞋,2
塑料,其他,1,1.4751,收纳盒,2
女士,其他,1,1.5055,保温杯,2
车载,其他,1,1.778,保温杯,2
背心,其他,1,3.035,垃圾袋,2
平口,其他,1,3.9849,垃圾袋,2
冬季,其他,1,1.3406,拖鞋,2
保暖,其他,1,1.8243,拖鞋,2
室内外,其他,1,2.7526,拖鞋,3
桌面,其他,1,1.8652,收纳盒,2
文具,其他,1,1.7136,收纳盒,2
化妆品,其他,1,1.6774,收纳盒,3
箱大号,其他,1,2.391,收纳盒,3
充充,其他,1,2.391,手机配件,2
电线,其他,1,1.8673,手机配件,2
华为,其他,1,1.6551,手机配件,2
20000,其他,1,2.391,手机配件,5
毫安,其他,1,2.3006,手机配件,2
三合一,其他,1,3.6032,手机配件,3
充线,其他,1,3.9849,手机配件,2
耳机,品类词,1,2.3475,手机配件,2
有线,其他,1,2.4601,手机配件,2
高音质,其他,1,3.4752,手机配件,3
安卓,其他,1,2.9887,手机配件,2
加长,其他,1,2.2681,手机配件,2
超长,其他,1,1.7556,手机配件,2
续航,其他,1,1.6111,手机配件,2
闪充,其他,1,2.391,手机配件,2
指纹,其他,1,2.0188,手机配件,2
10,其他,1,1.3283,面膜,2
片装,其他,1,1.3283,面膜,2
深层,其他,1,0.931,面膜,2
氨基酸,其他,1,1.0185,洗面奶,3
通用,其他,1,0.8205,洗面奶,2
PA,其他,1,1.4943,防晒霜,2
+++,其他,1,1.4943,防晒霜,3
防汗,其他,1,1.4943,防晒霜,2
雾面,其他,1,1.7078,口红,2
掉色,其他,1,1.9858,口红,2
祛斑,其他,1,1.4378,面膜,2
紧致,其他,1,1.4943,面膜,2
国货,其他,1,1.5897,防晒霜,2
军训,其他,1,1.5204,防晒霜,2
正品,其他,1,1.8547,口红,2
脱色,其他,1,1.7062,口红,2
豆沙,其他,1,1.7803,口红,2
泥膜,其他,1,1.4943,面膜,2
粉刺,其他,1,1.3167,面膜,2
洁面乳,其他,1,1.8446,洗面奶,3
喷雾,其他,1,1.4241,防晒霜,2
全身,其他,1,0.9355,防晒霜,2
可用,其他,1,0.9429,防晒霜,2
丝绒,其他,1,1.7803,口红,2
隔离霜,其他,1,2.2013,防晒霜,3
二合一,其他,1,2.0182,防晒霜,3
SPF30,其他,1,1.9925,防晒霜,5
提亮,功能词,1,1.9925,防晒霜,2
肤色,其他,1,1.5189,防晒霜,2
辣味,其他,1,1.7614,零食特产,2
网红辣条,其他,1,1.9925,零食特产,4
大刀,其他,1,1.4618,零食特产,2
小包装,其他,1,1.734,零食特产,3
芒果,其他,1,1.2197,零食特产,2
泰国,其他,1,0.9405,零食特产,2
风味,其他,1,1.0857,零食特产,2
老式,其他,1,1.1172,零食特产,2
大辣,其他,1,1.4943,零食特产,2
片儿,其他,1,1.417,零食特产,2
怀旧,其他,1,1.2413,零食特产,2
豆皮,其他,1,1.4943,零食特产,2
炒货,其他,1,1.9925,零食特产,2
夏威夷,其他,1,1.5134,零食特产,3
奶油味,其他,1,2.3168,零食特产,3
开果器,其他,1,1.9925,零食特产,3
罐装,其他,1,1.826,零食特产,2
早餐,其他,1,1.0747,零食特产,2
批发,其他,1,1.0068,零食特产,2
新疆,其他,1,0.9361,零食特产,2
山药,其他,1,1.3446,零食特产,2
薄片,其他,1,1.3308,零食特产,2
薯片,品类词,1,1.7878,零食特产,2
酥脆,其他,1,1.5509,零食特产,2
红枣,其他,1,1.2861,零食特产,2
麻辣,其他,1,1.482,零食特产,2
豆制品,其他,1,1.3789,零食特产,3
一包,其他,1,1.2023,零食特产,2
综合,其他,1,0.7802,零食特产,2
猕猴桃,其他,1,1.3237,零食特产,3
草莓,其他,1,1.3749,零食特产,2
糕点,其他,1,1.5744,零食特产,2
男孩,其他,1,1.6539,玩具,2
遥控,其他,1,1.7689,玩具,2
汽车,其他,1,1.0358,玩具,2
可充电,其他,1,2.7801,玩具,3
男童,其他,1,1.5318,童装,2
拉拉,其他,1,1.8847,纸尿裤,2
XXL,其他,1,2.391,纸尿裤,3
牙胶,其他,1,2.391,玩具,2
洋气,其他,1,2.782,童装,2
SMLXL,其他,1,1.9925,纸尿裤,5
